n_events,round,rebuild_time_s,odte_recovery_time_s,equal
100,1,0.0734,9.1017,True
100,2,0.0718,9.0992,True
100,3,0.0979,9.0997,True
100,4,0.0718,9.1012,True
100,5,0.0714,9.1013,True
100,6,0.0739,9.1024,True
100,7,0.0711,9.1011,True
100,8,0.0724,9.1034,True
100,9,0.0725,9.1025,True
100,10,0.0769,9.1021,True
200,1,0.1346,9.6037,True
200,2,0.1011,9.0972,True
200,3,0.1016,9.1052,True
200,4,0.1286,9.1003,True
200,5,0.1061,9.1032,True
200,6,0.108,9.0987,True
200,7,0.1071,9.0988,True
200,8,0.1362,9.0959,True
200,9,0.1009,9.104,True
200,10,0.1138,9.1043,True
500,1,0.2488,9.6054,True
500,2,0.2073,9.6089,True
500,3,0.2043,9.6091,True
500,4,0.2482,9.6031,True
500,5,0.2362,9.6058,True
500,6,0.2067,9.6029,True
500,7,0.2201,9.6064,True
500,8,0.204,9.6063,True
500,9,0.2382,9.6059,True
500,10,0.2069,9.6068,True
1000,1,0.3973,9.1008,True
1000,2,0.3842,9.104,True
1000,3,0.4431,9.0981,True
1000,4,0.3878,9.1028,True
1000,5,0.4264,9.0993,True
1000,6,0.388,9.1002,True
1000,7,0.393,9.1005,True
1000,8,0.4412,9.0993,True
1000,9,0.4203,9.1015,True
1000,10,0.3891,9.0977,True
2000,1,0.8088,9.6013,True
2000,2,0.8065,9.0996,True
2000,3,0.7927,9.6117,True
2000,4,0.8693,9.1014,True
2000,5,0.8574,9.6103,True
2000,6,0.7967,9.1053,True
2000,7,0.9942,9.6055,True
2000,8,0.9014,9.1006,True
2000,9,0.9021,9.0995,True
2000,10,0.9537,9.0993,True
5000,1,2.3158,9.0996,True
5000,2,2.3202,9.6068,True
5000,3,2.2657,9.6095,True
5000,4,2.3232,9.1015,True
5000,5,2.3491,9.0999,True
5000,6,2.2135,9.1007,True
5000,7,2.2348,9.1001,True
5000,8,2.2685,9.1018,True
5000,9,2.2366,9.099,True
5000,10,2.3739,9.1027,True
10000,1,5.4598,9.1002,True
10000,2,5.5362,9.6061,True
10000,3,5.4356,9.605,True
10000,4,5.4098,9.605,True
10000,5,5.4079,9.0966,True
10000,6,5.5193,9.6046,True
10000,7,5.4479,9.605,True
10000,8,5.4442,9.6056,True
10000,9,5.4667,9.6063,True
10000,10,5.462,9.6059,True
